a,b,new_imp
0.95000,1.00000,0.99610
1.00000,0.00000,0.49290
1.00000,0.05000,0.50020
1.00000,0.10000,0.50470
1.00000,0.15000,0.52820
1.00000,0.20000,0.54450
1.00000,0.25000,0.57610
1.00000,0.30000,0.60040
1.00000,0.35000,0.63710
1.00000,0.40000,0.67410
1.00000,0.45000,0.71590
1.00000,0.50000,0.75020
1.00000,0.55000,0.79020
1.00000,0.60000,0.82820
1.00000,0.65000,0.86300
1.00000,0.70000,0.89880
1.00000,0.75000,0.92990
1.00000,0.80000,0.95420
1.00000,0.85000,0.97290
1.00000,0.90000,0.98590
1.00000,0.95000,0.99760
1.00000,1.00000,1.00000
